Word,LLM Definition,Actual Definition,LLM Judgment (RAW),Is Correct
acelguilla,Persona muy torpe o inepta que hace o dice cosas ridículas o disparatadas.,"Se da este nombre a las plantas Statice costae y echioides. También acelguilla silvestre y acelguilla espinosa, respectivamente.",Incorrecto.,False
agüista,"Persona aficionada al vino, especialmente a los que contienen aguardiente.",1. m. y f. Persona que asiste a un establecimiento de aguas mineromedicinales con fines curativos.,Incorrecto,False
antidiarreico,Medicamento que se toma para controlar o tratar los síntomas de una diarrea excesiva.,"1. adj. Que combate la diarrea. El arándano tiene propiedades antidiarreicas. Apl. a un medicamento o a una sustancia, u. t. c. s. m.",Incorrecto,False
apealar,"Denota llamada o grito para atraer atención, especialmente en urgencia.","1. tr. Chile y Méx. manganear.Sin.:manganear, pialar.",Incorrecto,False
apparat,Estructura o conjunto de objetos organizados para un fin determinado.,Aparato [de un gobierno o de un partido]. Normalmente referido al Partido Comunista.,Incorrecto,True
arante,Persona que maneja arado para labrar (tierras).,1. m. alerce africano.,Incorrecto,False
ardilla,"El término ""ardilla"" se refiere a un roedor pequeño, activo y ágil que vive en bosques y áreas montañosas y es conocido por su habilidad para almacenar semillas y nueces en distintos lugares.","1. f. Mamífero roedor, de unos 20 cm de largo, de color negro rojizo por el lomo, blanco por el vientre y con cola muy poblada, que dobla hasta sobresalir de la cabeza. Se cría en los bosques, y es muy inquieto, vivo y ligero.Sin.:ardita, esguilo, esquil, resquilo, risquilo, petigrís.",Incorrecto,True
bátavo,"Persona oriunda o natural de Batavia o de las Indias orientales (en el siglo XVII, generalmente referido a los indígenas del archipiélago de Java o de otras islas próximas en Asia).","1. adj. Natural de Batavia, país de la Europa antigua. U. t. c. s.",Incorrecto,True
bicicross,"Es un estilo de competencia de bicicletas mixta que combina elementos de cross-country, downhill, track y BMX.",1. m. Dep. Modalidad de ciclismo que se practica en terrenos o circuitos accidentados.Sin.:ciclocross.,Incorrecto,False
bifocal,"Gafas con dos focos, uno para leer y otro para mirar a lo lejos.","1. adj. Ópt. Dicho principalmente de una lente: Que tiene dos focos, con el fin de corregir la visión a corta y a larga distancia.",Correcto,False
cantautor,Persona que compagina la escritura de canciones con su presentación en el canto como pianista o acompañado de otros instrumentistas.,"1. m. y f. Cantante, por lo común solista, que suele ser autor de las composiciones que interpreta, en las que prevalece sobre la música un mensaje de intención crítica o poética.",Incorrecto.,True
cantinero,Persona que se dedica a servir bebidas en un local.,"1. m. y f. Persona que tiene cantina (‖ establecimiento público).Sin.:tabernero, mesonero, bodeguero.",Incorrecto,False
cartulina,"Material muy delgado, flexible y resistente, generalmente compuesto por papel.","1. f. Cartón delgado, generalmente terso, que se usa para tarjetas, diplomas y cosas análogas.Sin.:cartón, ficha, tarjeta.",Incorrecto,False
centavo,"Moneda pequeña utilizada como unidad monetaria en varios países hispanoamericanos, equivalente a una décima parte del peso.","1. adj. centésimo (‖ que es una de las cien partes de un todo).Sin.:centésimo, céntimo.",Incorrecto,True
cerebrotónico,"Es un término médico que se refiere a los alijos de oxígeno en el cerebro, causando daño cerebral grave debido a asfixia cortical, síntomas de presión intracraneal moderada y grave con rigidez de cuello y convulsiones o sin ellas.

Sin embargo, si estás buscando una definición más específica, la mayoría de los textos médicos consideran a la encefalopatía hepática no obstructiva, que se produce por metabolismo defectuoso del glucógeno que ocasiona alijos de oxígeno en el cerebro",(Psicol) [Tipo psíquico] caracterizado por la inhibición y la introversión. También referido a la persona que corresponde a este tipo.,"Incorrecto. La definición que te propuse era la referencia a un tipo psicológico, mientras que la respuesta correcta recoge dos definiciones de Cerebrotónicos relacionadas con una afección cerebral: alijos de oxígeno en el cerebro y por metabolismo defectuoso del glucógeno.",False
chalaza,La placa fibrosa que une el embrión con el cordón umbilical en el huevo fértil.,1. f. Cada uno de los dos filamentos que sostienen la yema del huevo en medio de la clara.,Incorrecto.,False
chigüire,"Un mamífero roedor que se alimenta en áreas costeras, especialmente semillas de plantas marinas, granizado grisáceo.","1. m. Ven. carpincho.Sin.:carpincho, capiguara, capibara, capincho.",Incorrecto,False
coliseo,"Obrador romano en forma de anfiteatro para espectáculos como combates entre guerreros, naumaquias, etc., construido por orden del emperador Vespasiano (72-80).","1. m. Sala construida para espectáculos públicos.Sin.:anfiteatro, teatro, circo.",Incorrecto,False
conspirar,Conspirar: Colaborar a esconder una verdad o realizar una acción secreta.,"1. intr. Dicho de varias personas: Unirse contra su superior o soberano.Sin.:complotar, conjurar, confabularse, maquinar, intrigar, tramar, convoyarse, conchabarse.",Incorrecto,False
corbata,Ornamento textil que llevamos sujeto al cuello como adorno o señal.,"1. f. Prenda de adorno, especialmente masculina, consistente en una banda larga y estrecha de seda u otro tejido adecuado, que, colocada alrededor del cuello, se anuda o enlaza por delante dejando caer sus extremos sobre el pecho.Sin.:corbatín, chalina.",Incorrecto,False
corralero,"Persona que se dedica a la labranza, cultivo y cuidado del olivar, generalmente para vender los productos derivados.",1. adj. Perteneciente o relativo al corral.,Incorrecto.,False
cosmotrón,"Partícula hipotética, resultado de una colisión entre un protón y antiprotón, cuya existencia fue postulada por R.H. Davies en 1964, con masa en el rango de la masa del pión neutro. La búsqueda se suspendió en 1966.",(Física) Acelerador de partículas que confiere a estas una energía comparable a la de las partículas de los rayos cósmicos.,Incorrecto.,False
crístico,Relativo a Jesucristo o el cristianismo.,De Cristo.,Incorrecto,True
cuentapartícipe,"Añadido a una deuda o compromiso, como el principal.",Persona que tiene participación en los beneficios de una renta inmobiliaria.,Incorrecto.,False
dabuti,"No tengo resultados para la palabra ""dabuti"".",(jergal) De buti o magnífico. Tb adv.,Incorrecto,False
dactiloscopia,"La ciencia que estudia las huellas o señas características del dorso de los pulgares e índices de las manos, para uso en justicia y seguridad.","1. f. Estudio de las impresiones dactilares, utilizadas para la identificación de las personas.",Incorrecto,True
deformabilidad,"La capacidad de ser deformado, es decir, cambiar de forma sin romperse.",Cualidad de deformable.,Incorrecto,True
desinfección,"El proceso de eliminar, reducir o inhibir los organismos microbianos patógenos en superficies u objetos contaminados, con el fin de evitar su propagación.","1. f. Acción y efecto de desinfectar.Sin.:limpieza, esterilización, asepsia, purificación, desinfectación.Ant.:infección.",Correcto.,True
